REF. OBJET;PERIODE;PRIME ;PUISS.OBJET;MARQUE.OBJET;USAGE;VALEUR ASSURE;AGE.CONDUCTEUR;AGE.OBJET;SINISTRALITE;NATURE.SIN;DATE.SIN;MONTANT REMBOURSE;SIN.2021
6340TU128;180;391 489;10;ISUZU;3;26 000 000;41;15;0;;;0;0
4776TU197;180;499 120;5;CHEVROLET;1;25 000 000;45;5;0;;;0;0
229TU186;364;720 740;6;FIAT;1;25 000 000;40;10;0;;;0;0
9288TU220;364;2 212 977;6;SEAT;1;87 980 000;43;1;0;;;0;0
RS213714;364;2 024 780;9;MERCEDES-BENZ;1;100 000 000;42;3;0;;;0;0
9835TU134;180;314 404;5;OPEL;1;15 000 000;61;14;0;;;0;0
7214TU127;180;348 604;5;VOLKSWAGEN;1;15 000 000;61;6;0;;;0;0
5271TU71;180;342 993;8;MERCEDES-BENZ;1;8 000 000;38;41;0;;;0;0
7620TU27;180;365 516;7;PEUGEOT;1;10 000 000;49;59;0;;;0;0
1633TU192;89;201 340;6;MAZDA;1;8 000 000;46;6;0;;;0;0
4301TU187;180;299 016;5;VOLKSWAGEN;1;10 000 000;32;11;0;;;0;0
2353TU203;364;931 287;6;RENAULT;1;21 000 000;32;9;0;;;0;0
1731TU78;29;147 200;10;BMW;1;8 000 000;29;26;0;;;0;0
5074TU159;180;471 542;10;RENAULT;1;10 000 000;53;10;1;;;0;0
6221TU167;364;1 696 516;12;MERCEDES-BENZ;1;122 000 000;58;6;0;;;0;0
7565TU213;89;254 300;11;KIA ;1;8 000 000;38;2;0;;;0;0
346TU221;364;3 428 538;11;KIA;1;137 000 000;50;1;0;;;0;0
871TU213;89;181 340;6;PASSAT;1;10 000 000;39;6;0;;;0;0
3019TU73;180;448 254;10;IVECO-FIAT;3;10 000 000;47;33;0;;;0;0
8376TU155;364;692 124;5;FORD;1;20 000 000;53;10;0;;;0;0
ES23406;364;439 508;10;JAC;9;10 000 000;35;9;0;;;0;0
1040TU221;364;1 016 974;4;KIA;1;48 000 000;33;1;0;;;0;0
1039TU221;364;1 016 974;4;KIA;1;48 000 000;51;1;0;;;0;0
655TU201;364;1 228 962;9;KING LONG;4;20 000 000;45;5;0;;;0;0
6231TU125;180;419 246;7;CITROEN;3;10 000 000;39;20;0;;;0;0
3376TU129;180;295 750;5;RENAULT;1;19 000 000;46;15;0;;;0;0
8880TU172;364;753 760;5;PEUGEOT;3;10 000 000;40;12;0;;;0;0
9967TU220;364;922 956;5;KIA;1;30 000 000;36;1;0;;;0;0
2990TU186;180;557 698;8;HYUNDAI;1;36 000 000;37;10;0;;;0;0
5136TU197;364;510 744;4;SEAT;1;20 000 000;63;5;0;;;0;0
589TU156;180;265 436;4;PEUGEOT;1;10 000 000;40;13;0;;;0;0
7152TU65;180;422 516;11;VOLKSWAGEN;1;10 000 000;54;43;0;;;0;0
7877TU95;180;212 646;4;RENAULT ;1;10 000 000;33;22;0;;;0;0
9497TU43;364;720 732;12;O.M;3;10 000 000;48;38;0;;;0;0
RS213931;364;937 200;8;IVECO;3;30 000 000;44;5;0;;;0;0
